CIF,Account Name,Region,Age,Sex,CLV_Predicted,Lookalike_Score,Segment_Label
CIF01001903,Customer_1904,Addis Ababa,31,M,201302.16,0.9672898893912907,High-CLV Active
CIF01008447,Customer_8448,Sidama,54,M,307337.97,0.9672398800292092,Champions
CIF01000798,Customer_799,Oromia,41,F,1092070.1,0.9666284433121651,Champions
CIF01007113,Customer_7114,Addis Ababa,47,M,175609.38,0.9661732207777133,High-CLV Active
CIF01002907,Customer_2908,Sidama,47,F,150353.62,0.9660883217725664,Champions
CIF01009361,Customer_9362,Amhara,29,M,160661.11,0.9660665031814512,High-CLV Active
CIF01007809,Customer_7810,Oromia,44,M,489997.78,0.9658589090581243,Cross-Sell Ready
CIF01009697,Customer_9698,Addis Ababa,29,F,207397.47,0.9654511930206247,Champions
CIF01008445,Customer_8446,SNNPR,44,M,176471.61,0.9654198743382227,Champions
CIF01005174,Customer_5175,Amhara,52,M,658938.4,0.9653131775378345,High-CLV Active
CIF01004767,Customer_4768,Oromia,39,F,253456.58,0.965311220477481,Mid-Value Growth
CIF01005028,Customer_5029,Addis Ababa,29,F,157494.19,0.9651559386290138,Champions
CIF01006070,Customer_6071,Oromia,31,F,219063.89,0.9651542585725327,Champions
CIF01007825,Customer_7826,Oromia,22,F,258158.5,0.9651210751592648,Champions
CIF01004840,Customer_4841,Tigray,45,F,226513.1,0.9650853229467009,Champions
CIF01001857,Customer_1858,Oromia,37,M,208992.4,0.9648711320721458,Champions
CIF01009201,Customer_9202,Afar,47,F,142119.89,0.9647571224534329,Champions
CIF01008979,Customer_8980,Oromia,33,F,328973.53,0.9646787418820226,Mid-Value Growth
CIF01000823,Customer_824,Oromia,50,M,357518.44,0.9644638921205552,Champions
CIF01003745,Customer_3746,Addis Ababa,41,M,146374.61,0.9644341536909287,Cross-Sell Ready
CIF01003496,Customer_3497,SNNPR,27,M,163557.84,0.964174911672158,Cross-Sell Ready
CIF01008178,Customer_8179,Amhara,42,M,162538.2,0.9640377128182448,High-CLV Active
CIF01006361,Customer_6362,Addis Ababa,32,M,159969.22,0.9638563410160291,Champions
CIF01007084,Customer_7085,Addis Ababa,30,F,186644.47,0.9638181876010771,Champions
CIF01009081,Customer_9082,Benishangul-Gumuz,39,M,344825.78,0.9637439726718128,High-CLV Active
CIF01004071,Customer_4072,Amhara,32,M,205057.58,0.9637396344729202,High-CLV Active
CIF01004566,Customer_4567,Addis Ababa,49,M,221254.78,0.9637199228861137,High-CLV Active
CIF01005945,Customer_5946,Oromia,33,F,522912.97,0.963717866430323,Mid-Value Growth
CIF01003844,Customer_3845,Addis Ababa,49,F,582042.6,0.9630495275764768,Champions
CIF01003875,Customer_3876,Amhara,18,M,411081.25,0.9628562714466877,High-CLV Active
CIF01008029,Customer_8030,Addis Ababa,41,M,406480.4,0.962683235789013,Champions
CIF01009364,Customer_9365,Oromia,39,M,112963.84,0.9624745990722352,Cross-Sell Ready
CIF01005760,Customer_5761,Amhara,33,M,158287.1,0.9623349114015743,High-CLV Active
CIF01008615,Customer_8616,SNNPR,43,M,164575.86,0.9622904875323208,High-CLV Active
CIF01005430,Customer_5431,Sidama,18,M,179278.78,0.9618815819321253,High-CLV Active
CIF01004923,Customer_4924,Amhara,51,M,176545.66,0.9618563199265234,High-CLV Active
CIF01000841,Customer_842,Amhara,36,M,173704.72,0.9618126276364467,High-CLV Active
CIF01003148,Customer_3149,Oromia,38,F,291861.16,0.9617395201280946,Mid-Value Growth
CIF01000280,Customer_281,Addis Ababa,50,F,703465.75,0.9617387934194772,Champions
CIF01003830,Customer_3831,Oromia,34,M,349825.4,0.96157743085705,Champions
CIF01002488,Customer_2489,Addis Ababa,42,M,162066.95,0.961546654015568,High-CLV Active
CIF01003793,Customer_3794,Harari,43,F,310128.5,0.9613168194686046,Champions
CIF01003821,Customer_3822,Amhara,39,M,659902.7,0.9612178532637462,High-CLV Active
CIF01001765,Customer_1766,Amhara,42,F,264481.47,0.9611609054196822,Champions
CIF01008905,Customer_8906,Addis Ababa,30,F,197612.44,0.960926682981077,Champions
CIF01009368,Customer_9369,Benishangul-Gumuz,29,F,240269.03,0.9607688523475931,Champions
CIF01003976,Customer_3977,Amhara,50,M,184573.55,0.9606922382027572,High-CLV Active
CIF01006654,Customer_6655,SNNPR,45,M,200669.06,0.9606494330365649,High-CLV Active
CIF01005256,Customer_5257,Addis Ababa,51,F,166307.62,0.9606294422811072,Mid-Value Growth
CIF01007828,Customer_7829,Amhara,18,F,334984.62,0.9604596701543936,Champions
CIF01000091,Customer_92,Addis Ababa,39,F,185669.34,0.9603109364032351,Mid-Value Growth
CIF01005443,Customer_5444,Sidama,42,F,179690.61,0.9603097905875835,Champions
CIF01006815,Customer_6816,Addis Ababa,24,F,161064.69,0.9602449392937622,Mid-Value Growth
CIF01005162,Customer_5163,Oromia,37,M,153359.2,0.960221543233107,Champions
CIF01009392,Customer_9393,Addis Ababa,51,M,362403.6,0.9601416464037933,High-CLV Active
CIF01006044,Customer_6045,SNNPR,48,F,1396725.0,0.9597780701558412,Champions
CIF01008634,Customer_8635,SNNPR,28,F,130586.42,0.9597109579454167,Champions
CIF01004402,Customer_4403,SNNPR,49,F,189299.11,0.9593748256381054,Mid-Value Growth
CIF01002601,Customer_2602,Oromia,37,F,457940.44,0.9592394932830193,Mid-Value Growth
CIF01005419,Customer_5420,Amhara,18,F,154634.97,0.9592105439019383,Champions
CIF01008869,Customer_8870,Addis Ababa,57,F,129461.79,0.9591716608439348,Champions
CIF01002880,Customer_2881,Oromia,28,M,207134.47,0.9591013246933575,High-CLV Active
CIF01006721,Customer_6722,Oromia,47,F,232769.22,0.959030891448143,Champions
CIF01005855,Customer_5856,Addis Ababa,38,M,137895.08,0.9590067873007191,Champions
CIF01001341,Customer_1342,Addis Ababa,39,F,116272.71,0.9589536816199145,Champions
CIF01005842,Customer_5843,Amhara,18,M,597943.9,0.9589517128294252,High-CLV Active
CIF01007777,Customer_7778,Addis Ababa,23,M,121760.0,0.9588627143262183,Cross-Sell Ready
CIF01007012,Customer_7013,Addis Ababa,28,F,444037.66,0.9588392135325844,Champions
CIF01008900,Customer_8901,SNNPR,28,M,174544.97,0.9584632739895426,High-CLV Active
CIF01008931,Customer_8932,Sidama,32,F,190043.14,0.9583894472776688,Mid-Value Growth
CIF01007377,Customer_7378,Oromia,43,F,169939.3,0.9583582136129584,Champions
CIF01002712,Customer_2713,Addis Ababa,26,M,158912.02,0.9582652782929393,Champions
CIF01002456,Customer_2457,Addis Ababa,35,F,556289.1,0.9582388442318229,Champions
CIF01000252,Customer_253,Addis Ababa,36,M,155646.92,0.9582054790667126,High-CLV Active
CIF01006572,Customer_6573,Oromia,43,M,174231.83,0.9581947257417008,High-CLV Active
CIF01008425,Customer_8426,Addis Ababa,34,M,137927.34,0.958046607478203,Cross-Sell Ready
CIF01009796,Customer_9797,Addis Ababa,34,M,1062289.2,0.958021497302268,High-CLV Active
CIF01009992,Customer_9993,Addis Ababa,37,M,177790.64,0.9578340355756364,Cross-Sell Ready
CIF01008974,Customer_8975,Addis Ababa,32,M,1342857.9,0.9576641028209233,High-CLV Active
CIF01005901,Customer_5902,Harari,36,M,159736.16,0.9576422671252505,High-CLV Active
CIF01007284,Customer_7285,Addis Ababa,57,F,1435667.9,0.9575456922768124,High-CLV Active
CIF01001064,Customer_1065,Oromia,42,M,278272.12,0.9573918082989032,High-CLV Active
CIF01004273,Customer_4274,Oromia,38,F,161761.42,0.9573416486581179,Mid-Value Growth
CIF01008833,Customer_8834,Addis Ababa,34,F,200900.2,0.9572017650735959,Champions
CIF01002602,Customer_2603,Addis Ababa,32,M,202061.44,0.9571007706939835,High-CLV Active
CIF01002674,Customer_2675,Addis Ababa,51,M,151011.28,0.9569508903756859,Champions
CIF01003211,Customer_3212,Oromia,53,F,128344.1,0.9568155964965924,Champions
CIF01002898,Customer_2899,Oromia,31,F,249052.17,0.9566268665212438,Dormant Risk
CIF01003590,Customer_3591,Harari,39,F,163634.78,0.956609573934374,Mid-Value Growth
CIF01000873,Customer_874,Addis Ababa,26,M,197639.67,0.9565104200829944,High-CLV Active
CIF01002972,Customer_2973,Addis Ababa,40,F,142272.58,0.9564091075837867,Champions
CIF01007421,Customer_7422,Addis Ababa,31,M,137397.97,0.9563271067772365,Champions
CIF01005102,Customer_5103,Benishangul-Gumuz,33,F,310369.53,0.956281009831269,Champions
CIF01007242,Customer_7243,Amhara,21,M,136961.66,0.9562455388220593,High-CLV Active
CIF01001728,Customer_1729,Addis Ababa,41,F,162877.11,0.9561093217571381,Mid-Value Growth
CIF01004604,Customer_4605,Amhara,39,M,169132.95,0.9559814965407999,Champions
CIF01004968,Customer_4969,Oromia,38,M,134235.61,0.9558938747048815,High-CLV Active
CIF01007725,Customer_7726,SNNPR,40,M,422079.97,0.9556289490172162,Champions
CIF01006293,Customer_6294,Oromia,31,F,139194.16,0.9555124171944442,Champions
CIF01001932,Customer_1933,Oromia,31,F,127623.64,0.955478167509431,Champions
CIF01002622,Customer_2623,Addis Ababa,39,M,118820.36,0.9553149575050338,Cross-Sell Ready
CIF01005121,Customer_5122,Oromia,34,M,172248.81,0.9552296433393885,High-CLV Active
CIF01005153,Customer_5154,Amhara,35,M,938945.94,0.954899953589089,Champions
CIF01001072,Customer_1073,Addis Ababa,49,M,327571.94,0.9548154980326399,High-CLV Active
CIF01002945,Customer_2946,Oromia,41,M,363359.56,0.9547939575803319,Cross-Sell Ready
CIF01000491,Customer_492,Addis Ababa,42,F,204942.73,0.9547005998788618,Mid-Value Growth
CIF01003548,Customer_3549,Amhara,43,F,190951.5,0.9546839153190884,Champions
CIF01000533,Customer_534,Sidama,44,M,377818.9,0.9545721605069368,High-CLV Active
CIF01002998,Customer_2999,Addis Ababa,41,M,343749.9,0.9544886415715933,High-CLV Active
CIF01003641,Customer_3642,Oromia,19,F,228820.08,0.9542522705208241,Champions
CIF01007083,Customer_7084,Amhara,56,F,208422.19,0.9541492700570927,Champions
CIF01009589,Customer_9590,SNNPR,53,M,340835.72,0.9540495315382232,High-CLV Active
CIF01007847,Customer_7848,Addis Ababa,28,F,155564.4,0.9538461282891736,Mid-Value Growth
CIF01009912,Customer_9913,Amhara,42,F,139944.14,0.9538371298474809,Champions
CIF01002062,Customer_2063,Addis Ababa,48,M,198999.98,0.9537642919627611,High-CLV Active
CIF01003342,Customer_3343,Oromia,18,F,245325.75,0.9537555893335952,Champions
CIF01002425,Customer_2426,Amhara,21,M,301253.0,0.9537465651640858,Champions
CIF01002846,Customer_2847,Addis Ababa,34,M,141746.52,0.9535105697120249,High-CLV Active
CIF01008982,Customer_8983,Afar,37,F,260389.55,0.953435088939652,Mid-Value Growth
CIF01007835,Customer_7836,Oromia,41,M,387353.06,0.9533175010440942,Champions
CIF01001651,Customer_1652,Amhara,30,F,181750.14,0.9533115112930809,Champions
CIF01009416,Customer_9417,Addis Ababa,18,F,774378.25,0.9532918501542644,Champions
CIF01004978,Customer_4979,Addis Ababa,31,M,161453.1,0.9532258219540537,Cross-Sell Ready
CIF01003822,Customer_3823,Oromia,40,F,217209.16,0.9532024925952345,Champions
CIF01000766,Customer_767,Harari,25,M,269166.1,0.9531719570963516,Cross-Sell Ready
CIF01004710,Customer_4711,Benishangul-Gumuz,46,F,128268.32,0.9530388961465924,Champions
CIF01003696,Customer_3697,Addis Ababa,35,M,145797.03,0.9530295359834162,High-CLV Active
CIF01000375,Customer_376,Amhara,53,F,268536.53,0.953010224186768,Mid-Value Growth
CIF01001176,Customer_1177,Gambela,24,F,239111.19,0.9528553297966981,Mid-Value Growth
CIF01001549,Customer_1550,Dire Dawa,24,M,167185.98,0.9527587176340586,High-CLV Active
CIF01006549,Customer_6550,Oromia,61,F,201377.98,0.9527036247856444,Mid-Value Growth
CIF01000115,Customer_116,Addis Ababa,24,F,234332.12,0.9524428934206998,Champions
CIF01001721,Customer_1722,Addis Ababa,34,M,135141.83,0.952292478765253,High-CLV Active
CIF01009623,Customer_9624,Amhara,25,F,294393.94,0.9522464415708538,Mid-Value Growth
CIF01006644,Customer_6645,Oromia,44,F,144566.36,0.9521555057053622,Mid-Value Growth
CIF01008446,Customer_8447,Oromia,45,F,433813.2,0.9519065026755618,Mid-Value Growth
CIF01001259,Customer_1260,Addis Ababa,35,M,196063.48,0.9516675571517247,Cross-Sell Ready
CIF01007783,Customer_7784,Oromia,29,M,213779.4,0.9516045126770968,Champions
CIF01002495,Customer_2496,Addis Ababa,29,F,267745.9,0.9515853085235303,Dormant Risk
CIF01008020,Customer_8021,Addis Ababa,27,F,394252.97,0.9515538601392767,Mid-Value Growth
CIF01009353,Customer_9354,Harari,29,M,362499.44,0.9513318339784772,Champions
CIF01007714,Customer_7715,Addis Ababa,35,M,225271.42,0.9513262442912647,High-CLV Active
CIF01001554,Customer_1555,Amhara,18,M,129986.086,0.9512382746977541,High-CLV Active
CIF01001946,Customer_1947,Oromia,23,F,266417.34,0.9511914982710575,Champions
CIF01001775,Customer_1776,Dire Dawa,34,M,433009.7,0.9511854304638573,Champions
CIF01003695,Customer_3696,Addis Ababa,24,M,241412.42,0.9511438679694767,High-CLV Active
CIF01000729,Customer_730,Oromia,30,M,142383.98,0.9511320830946738,Champions
CIF01009795,Customer_9796,SNNPR,41,F,140917.95,0.9510872916804171,Dormant Risk
CIF01004031,Customer_4032,Sidama,49,F,162470.03,0.9509206013662399,Mid-Value Growth
CIF01005710,Customer_5711,SNNPR,52,F,167901.62,0.9507089482050132,Mid-Value Growth
CIF01001317,Customer_1318,Sidama,42,F,338697.22,0.95063226979516,Champions
CIF01001204,Customer_1205,Addis Ababa,56,M,157992.23,0.9506050822479603,Champions
CIF01007178,Customer_7179,Amhara,39,M,287846.66,0.9505799577898819,High-CLV Active
CIF01005061,Customer_5062,Addis Ababa,32,M,451093.4,0.9505661201672382,High-CLV Active
CIF01002203,Customer_2204,Oromia,25,F,153316.56,0.9505451979937725,Champions
CIF01008751,Customer_8752,Amhara,50,F,162597.17,0.9504206047953084,Champions
CIF01009314,Customer_9315,Benishangul-Gumuz,33,F,193228.33,0.9503387503978856,Mid-Value Growth
CIF01006611,Customer_6612,Amhara,28,F,200023.42,0.950226656900145,Champions
CIF01003724,Customer_3725,SNNPR,37,M,134260.83,0.9501584266255818,Cross-Sell Ready
CIF01000501,Customer_502,SNNPR,21,M,169018.03,0.950021783173654,High-CLV Active
CIF01007644,Customer_7645,Dire Dawa,38,M,141255.47,0.9497468508226163,High-CLV Active
CIF01003020,Customer_3021,Sidama,52,M,3759159.0,0.9496461752544667,Cross-Sell Ready
CIF01004929,Customer_4930,Amhara,42,M,185627.83,0.9495436744900629,Cross-Sell Ready
CIF01004053,Customer_4054,Addis Ababa,56,F,198248.77,0.949536720819729,Mid-Value Growth
CIF01003053,Customer_3054,Addis Ababa,27,F,199316.2,0.9495166623268303,Dormant Risk
CIF01002367,Customer_2368,Somali,39,F,140350.14,0.9495056960909981,Dormant Risk
CIF01000632,Customer_633,Oromia,33,M,817011.25,0.9492846356922583,Champions
CIF01009545,Customer_9546,Addis Ababa,22,F,126372.9,0.9492780973105075,Mid-Value Growth
CIF01003928,Customer_3929,Dire Dawa,18,M,140592.33,0.9491725981735215,Champions
CIF01004711,Customer_4712,Sidama,30,M,139114.14,0.948915965714329,High-CLV Active
CIF01000379,Customer_380,Oromia,52,F,130895.55,0.9485131351717274,Champions
CIF01002451,Customer_2452,Oromia,49,M,177512.55,0.9483371812763014,High-CLV Active
CIF01000345,Customer_346,Addis Ababa,31,M,212825.08,0.9483214025311135,High-CLV Active
CIF01009794,Customer_9795,Addis Ababa,27,M,259235.83,0.9482215216438978,High-CLV Active
CIF01006577,Customer_6578,SNNPR,52,M,165277.2,0.9481328859431724,Cross-Sell Ready
CIF01006647,Customer_6648,Addis Ababa,25,M,233347.11,0.9480518009408312,Champions
CIF01007412,Customer_7413,Addis Ababa,37,F,363188.22,0.947990411873948,Mid-Value Growth
CIF01000534,Customer_535,Benishangul-Gumuz,34,F,189141.05,0.9479844006769137,Champions
CIF01002161,Customer_2162,Somali,45,M,193833.39,0.9479433732521966,Champions
CIF01007944,Customer_7945,Oromia,40,M,183923.3,0.947837071533773,High-CLV Active
CIF01006688,Customer_6689,Oromia,35,F,187637.34,0.9476099143751205,Champions
CIF01000373,Customer_374,Addis Ababa,54,F,175928.86,0.9475234275576402,Champions
CIF01009310,Customer_9311,Dire Dawa,43,M,123228.125,0.947488073049912,Champions
CIF01004499,Customer_4500,Sidama,31,M,325074.47,0.9474572758734425,Champions
CIF01003906,Customer_3907,Harari,31,M,129429.38,0.9472183223475025,Cross-Sell Ready
CIF01009966,Customer_9967,Addis Ababa,53,F,168098.88,0.9471191529008759,Dormant Risk
CIF01005376,Customer_5377,Dire Dawa,43,F,133239.22,0.9466827582803692,Champions
CIF01007732,Customer_7733,Addis Ababa,31,M,137367.11,0.9466814873344468,Champions
CIF01005011,Customer_5012,SNNPR,37,M,173747.88,0.9465236280764159,High-CLV Active
CIF01006202,Customer_6203,Addis Ababa,62,F,240780.05,0.9465149911213291,Champions
CIF01006098,Customer_6099,Sidama,33,M,189790.42,0.9464781553733318,Cross-Sell Ready
CIF01008816,Customer_8817,Oromia,27,M,160605.55,0.9463531288880256,High-CLV Active
CIF01001581,Customer_1582,Addis Ababa,19,F,139300.97,0.9463050459995321,Mid-Value Growth
CIF01005493,Customer_5494,Oromia,42,M,122859.5,0.9463040232004644,Champions
CIF01007655,Customer_7656,Oromia,36,M,593565.44,0.9461497208187108,Champions
CIF01007116,Customer_7117,Addis Ababa,51,M,205428.7,0.9460655078285731,High-CLV Active
CIF01000295,Customer_296,Tigray,26,F,223863.8,0.94603888488637,Mid-Value Growth
CIF01001028,Customer_1029,Benishangul-Gumuz,57,F,161000.42,0.9460085696219375,Champions
CIF01002640,Customer_2641,Addis Ababa,23,M,252238.53,0.9459537306734526,Cross-Sell Ready
CIF01002776,Customer_2777,Tigray,51,M,165626.19,0.9458989124848693,High-CLV Active
CIF01007819,Customer_7820,Tigray,19,F,127461.75,0.94586743005439,Dormant Risk
CIF01003829,Customer_3830,Amhara,18,F,132125.6,0.9456730965489788,Dormant Risk
CIF01006156,Customer_6157,Addis Ababa,18,F,143874.75,0.9454958573065022,Dormant Risk
CIF01007164,Customer_7165,Oromia,45,M,273143.4,0.9453922602064447,High-CLV Active
CIF01002128,Customer_2129,Tigray,42,F,125300.66,0.945177323000224,Dormant Risk
CIF01008925,Customer_8926,Amhara,33,M,176352.95,0.9451594197042192,High-CLV Active
CIF01005334,Customer_5335,SNNPR,30,M,387178.53,0.9451024729715404,High-CLV Active
CIF01002941,Customer_2942,Oromia,38,M,145738.73,0.9446958466838979,Cross-Sell Ready
CIF01007160,Customer_7161,Addis Ababa,18,M,128303.805,0.9446650300559154,High-CLV Active
CIF01005226,Customer_5227,Gambela,59,F,165288.27,0.9446156667346405,Champions
CIF01001613,Customer_1614,Sidama,39,M,128574.984,0.944597686527927,Cross-Sell Ready
CIF01000740,Customer_741,Oromia,36,F,149144.14,0.94458811744792,Dormant Risk
CIF01002869,Customer_2870,Sidama,22,F,229343.23,0.9445124619565289,Mid-Value Growth
CIF01000972,Customer_973,Addis Ababa,50,F,145122.05,0.9443952369542569,Mid-Value Growth
CIF01009301,Customer_9302,Oromia,33,F,229764.06,0.9443793479394594,Champions
CIF01005267,Customer_5268,Addis Ababa,40,M,116948.41,0.9443720002693161,High-CLV Active
CIF01007713,Customer_7714,Addis Ababa,29,M,858000.3,0.9443529063345979,High-CLV Active
CIF01000548,Customer_549,Addis Ababa,54,F,234246.8,0.9443506364565917,Mid-Value Growth
CIF01003647,Customer_3648,Addis Ababa,25,M,196264.34,0.9441478084671718,High-CLV Active
CIF01007182,Customer_7183,Amhara,23,F,475486.62,0.9441082806049955,Mid-Value Growth
CIF01009062,Customer_9063,Oromia,30,F,209315.17,0.9440922771694907,Champions
CIF01007410,Customer_7411,Addis Ababa,26,F,163947.08,0.9440154263956432,Champions
CIF01004626,Customer_4627,Addis Ababa,41,M,190107.72,0.9439693595689573,Cross-Sell Ready
CIF01004605,Customer_4606,Addis Ababa,57,F,190670.33,0.9439190736213459,Mid-Value Growth
CIF01009347,Customer_9348,Sidama,43,F,184151.9,0.9439130891463776,Dormant Risk
CIF01006415,Customer_6416,Addis Ababa,32,F,137252.0,0.9438662408417334,Mid-Value Growth
CIF01007419,Customer_7420,Addis Ababa,21,M,198812.33,0.943792433735501,Cross-Sell Ready
CIF01009225,Customer_9226,Oromia,41,F,772484.2,0.9436500360542963,Champions
CIF01001548,Customer_1549,Benishangul-Gumuz,30,F,151924.56,0.9436040497900935,Dormant Risk
CIF01001457,Customer_1458,Amhara,30,F,140367.47,0.9433730449316257,Dormant Risk
CIF01005265,Customer_5266,Tigray,37,M,120742.8,0.9432704020462133,Cross-Sell Ready
CIF01006708,Customer_6709,Addis Ababa,32,M,413756.88,0.94326255426698,High-CLV Active
CIF01003629,Customer_3630,Addis Ababa,26,F,147170.52,0.9430589965593458,Mid-Value Growth
CIF01004123,Customer_4124,Addis Ababa,18,M,498913.22,0.9430570385898102,High-CLV Active
CIF01002676,Customer_2677,Oromia,25,M,203728.77,0.9429420663566558,High-CLV Active
CIF01004282,Customer_4283,Addis Ababa,32,M,146332.56,0.9426501978739348,High-CLV Active
CIF01002328,Customer_2329,Addis Ababa,18,M,234580.48,0.9426392898546252,High-CLV Active
CIF01009839,Customer_9840,Addis Ababa,34,M,134698.72,0.9425835990789155,High-CLV Active
CIF01003853,Customer_3854,Addis Ababa,33,F,145785.22,0.9425229752783402,Dormant Risk
CIF01008647,Customer_8648,Addis Ababa,32,F,137782.92,0.9424589562274497,Mid-Value Growth
CIF01004219,Customer_4220,Harari,49,M,225119.03,0.9418077718579133,High-CLV Active
CIF01008758,Customer_8759,Oromia,41,M,458675.34,0.9417381437870127,High-CLV Active
CIF01004638,Customer_4639,Addis Ababa,40,F,135267.42,0.941628386770503,Dormant Risk
CIF01003440,Customer_3441,Addis Ababa,43,F,307408.9,0.9415592574345927,Champions
CIF01006066,Customer_6067,Addis Ababa,36,F,353721.88,0.9415548035551734,Champions
CIF01009671,Customer_9672,SNNPR,39,M,331498.75,0.9415024093056374,High-CLV Active
CIF01005132,Customer_5133,Oromia,33,M,232917.22,0.9414309459825283,Cross-Sell Ready
CIF01001531,Customer_1532,SNNPR,33,F,118605.29,0.9414212688216594,Mid-Value Growth
CIF01006440,Customer_6441,Addis Ababa,20,M,215527.89,0.9413774482947048,Champions
CIF01006433,Customer_6434,Oromia,18,F,381982.5,0.9412539206397263,Champions
CIF01000565,Customer_566,Dire Dawa,18,M,304679.72,0.9411528947158937,High-CLV Active
CIF01003817,Customer_3818,Oromia,32,F,227134.16,0.9410343877683304,Dormant Risk
CIF01001846,Customer_1847,SNNPR,28,M,290620.66,0.940974505008024,High-CLV Active
CIF01007311,Customer_7312,Addis Ababa,34,M,199691.98,0.940933013269875,High-CLV Active
CIF01009273,Customer_9274,Oromia,50,F,137907.56,0.9408525502880551,Champions
CIF01004789,Customer_4790,Somali,36,F,158280.75,0.9408003764946763,Dormant Risk
CIF01002841,Customer_2842,SNNPR,18,M,121457.66,0.9407376250388438,High-CLV Active
CIF01001583,Customer_1584,Addis Ababa,40,M,137469.53,0.9406790589368965,Champions
CIF01008990,Customer_8991,Sidama,31,F,143490.6,0.9406189110238118,Mid-Value Growth
CIF01008735,Customer_8736,Addis Ababa,41,F,163762.8,0.9405604292125065,Champions
CIF01008897,Customer_8898,Addis Ababa,31,M,218025.3,0.9405159439617654,High-CLV Active
CIF01004465,Customer_4466,SNNPR,46,M,126674.29,0.9404898237346111,Cross-Sell Ready
CIF01002592,Customer_2593,Amhara,18,F,216891.44,0.9404541709301,Champions
CIF01001402,Customer_1403,Addis Ababa,41,M,384164.4,0.9402875579199074,Champions
CIF01002533,Customer_2534,Oromia,18,M,256779.94,0.9402102589273549,Cross-Sell Ready
CIF01003953,Customer_3954,Addis Ababa,34,F,326814.8,0.9401891039532948,Dormant Risk
CIF01005802,Customer_5803,Addis Ababa,18,F,146574.78,0.9401507837501676,Dormant Risk
CIF01003398,Customer_3399,Amhara,33,F,122783.336,0.9401291230164284,Dormant Risk
CIF01004455,Customer_4456,SNNPR,28,M,161565.08,0.9400717446610258,Champions
CIF01000474,Customer_475,Dire Dawa,18,F,388025.9,0.9399250755418297,Champions
CIF01001108,Customer_1109,Oromia,41,M,147454.58,0.9399211399492825,High-CLV Active
CIF01001524,Customer_1525,Sidama,21,M,161503.75,0.9399032002102672,High-CLV Active
CIF01005568,Customer_5569,Oromia,31,M,172684.81,0.9397988914666314,High-CLV Active
CIF01008407,Customer_8408,Addis Ababa,18,F,338135.53,0.9397651058094135,Mid-Value Growth
