CIF,Account_Name,Current_Product,Segment,CLV_Tier,Churn_Risk,NBP_Rank,Recommended_Product,Confidence_Score
CIF01000018,Customer_19,Couples Saving Deposit,Dormant Risk,Mid-CLV,Critical Risk,2,Special Saving Account,0.10216
CIF01000018,Customer_19,Couples Saving Deposit,Dormant Risk,Mid-CLV,Critical Risk,3,Blatena Saving Account,0.07858
CIF01000019,Customer_20,Blatena Saving Account,High-CLV Active,Mid-CLV,Low Risk,1,Ordinary Saving Account,0.25408
CIF01000019,Customer_20,Blatena Saving Account,High-CLV Active,Mid-CLV,Low Risk,2,Special Saving Account,0.09953
CIF01000019,Customer_20,Blatena Saving Account,High-CLV Active,Mid-CLV,Low Risk,3,Dekemezmur Saving Account,0.06161
CIF01000020,Customer_21,Ordinary Saving Account,Mid-Value Growth,High-CLV,Low Risk,1,Special Saving Account,0.10215
CIF01000020,Customer_21,Ordinary Saving Account,Mid-Value Growth,High-CLV,Low Risk,2,Blatena Saving Account,0.08026
CIF01000020,Customer_21,Ordinary Saving Account,Mid-Value Growth,High-CLV,Low Risk,3,Werazut Saving Account,0.07203
CIF01000021,Customer_22,Ordinary Saving Account,Mid-Value Growth,Mid-CLV,Critical Risk,1,Special Saving Account,0.10274
CIF01000021,Customer_22,Ordinary Saving Account,Mid-Value Growth,Mid-CLV,Critical Risk,2,Blatena Saving Account,0.07623
CIF01000021,Customer_22,Ordinary Saving Account,Mid-Value Growth,Mid-CLV,Critical Risk,3,Werazut Saving Account,0.0683
CIF01000022,Customer_23,Ordinary Saving Account,Dormant Risk,Mid-CLV,Critical Risk,1,Special Saving Account,0.10216
CIF01000022,Customer_23,Ordinary Saving Account,Dormant Risk,Mid-CLV,Critical Risk,2,Blatena Saving Account,0.07858
CIF01000022,Customer_23,Ordinary Saving Account,Dormant Risk,Mid-CLV,Critical Risk,3,Werazut Saving Account,0.06936
CIF01000023,Customer_24,Dekemezmur Saving Account,Dormant Risk,Low-CLV,Critical Risk,1,Ordinary Saving Account,0.2305
CIF01000023,Customer_24,Dekemezmur Saving Account,Dormant Risk,Low-CLV,Critical Risk,2,Special Saving Account,0.09978
CIF01000023,Customer_24,Dekemezmur Saving Account,Dormant Risk,Low-CLV,Critical Risk,3,Blatena Saving Account,0.07858
CIF01000024,Customer_25,Janderebaw Saving Account,Dormant Risk,Top-CLV,Critical Risk,1,Ordinary Saving Account,0.24584
CIF01000024,Customer_25,Janderebaw Saving Account,Dormant Risk,Top-CLV,Critical Risk,2,Special Saving Account,0.09602
CIF01000024,Customer_25,Janderebaw Saving Account,Dormant Risk,Top-CLV,Critical Risk,3,Blatena Saving Account,0.08004
CIF01000025,Customer_26,Washera Saving Account,Mid-Value Growth,Low-CLV,Low Risk,1,Ordinary Saving Account,0.23643
CIF01000025,Customer_26,Washera Saving Account,Mid-Value Growth,Low-CLV,Low Risk,2,Special Saving Account,0.10339
CIF01000025,Customer_26,Washera Saving Account,Mid-Value Growth,Low-CLV,Low Risk,3,Blatena Saving Account,0.07883
CIF01000026,Customer_27,Hiruyan Saving Account,High-CLV Active,Mid-CLV,Low Risk,1,Ordinary Saving Account,0.25008
CIF01000026,Customer_27,Hiruyan Saving Account,High-CLV Active,Mid-CLV,Low Risk,2,Special Saving Account,0.10413
CIF01000026,Customer_27,Hiruyan Saving Account,High-CLV Active,Mid-CLV,Low Risk,3,Blatena Saving Account,0.07657
CIF01000027,Customer_28,Agape Saving Account,Cross-Sell Ready,Low-CLV,Critical Risk,1,Ordinary Saving Account,0.24327
CIF01000027,Customer_28,Agape Saving Account,Cross-Sell Ready,Low-CLV,Critical Risk,2,Special Saving Account,0.10103
CIF01000027,Customer_28,Agape Saving Account,Cross-Sell Ready,Low-CLV,Critical Risk,3,Blatena Saving Account,0.07473
CIF01000028,Customer_29,Dekemezmur Saving Account,Dormant Risk,Top-CLV,Critical Risk,1,Ordinary Saving Account,0.24975
CIF01000028,Customer_29,Dekemezmur Saving Account,Dormant Risk,Top-CLV,Critical Risk,2,Special Saving Account,0.09644
CIF01000028,Customer_29,Dekemezmur Saving Account,Dormant Risk,Top-CLV,Critical Risk,3,Blatena Saving Account,0.08046
CIF01000029,Customer_30,Blatena Saving Account,High-CLV Active,High-CLV,Low Risk,1,Ordinary Saving Account,0.2515
CIF01000029,Customer_30,Blatena Saving Account,High-CLV Active,High-CLV,Low Risk,2,Special Saving Account,0.09937
CIF01000029,Customer_30,Blatena Saving Account,High-CLV Active,High-CLV,Low Risk,3,Werazut Saving Account,0.06694
CIF01000030,Customer_31,Ordinary Saving Account,Cross-Sell Ready,Top-CLV,Critical Risk,1,Special Saving Account,0.1023
CIF01000030,Customer_31,Ordinary Saving Account,Cross-Sell Ready,Top-CLV,Critical Risk,2,Blatena Saving Account,0.07711
CIF01000030,Customer_31,Ordinary Saving Account,Cross-Sell Ready,Top-CLV,Critical Risk,3,Werazut Saving Account,0.06701
CIF01000031,Customer_32,Ahati Saving Account,Dormant Risk,High-CLV,Critical Risk,1,Ordinary Saving Account,0.24052
CIF01000031,Customer_32,Ahati Saving Account,Dormant Risk,High-CLV,Critical Risk,2,Special Saving Account,0.097
CIF01000031,Customer_32,Ahati Saving Account,Dormant Risk,High-CLV,Critical Risk,3,Blatena Saving Account,0.08032
CIF01000032,Customer_33,Blatena Saving Account,Cross-Sell Ready,Top-CLV,Critical Risk,1,Ordinary Saving Account,0.25461
CIF01000032,Customer_33,Blatena Saving Account,Cross-Sell Ready,Top-CLV,Critical Risk,2,Special Saving Account,0.10187
CIF01000032,Customer_33,Blatena Saving Account,Cross-Sell Ready,Top-CLV,Critical Risk,3,Werazut Saving Account,0.06529
CIF01000033,Customer_34,Ordinary Saving Account,Dormant Risk,High-CLV,Critical Risk,1,Special Saving Account,0.097
CIF01000033,Customer_34,Ordinary Saving Account,Dormant Risk,High-CLV,Critical Risk,2,Blatena Saving Account,0.08032
CIF01000033,Customer_34,Ordinary Saving Account,Dormant Risk,High-CLV,Critical Risk,3,Werazut Saving Account,0.07096
CIF01000034,Customer_35,Agape Saving Account,Mid-Value Growth,Mid-CLV,Low Risk,1,Ordinary Saving Account,0.25138
CIF01000034,Customer_35,Agape Saving Account,Mid-Value Growth,Mid-CLV,Low Risk,2,Special Saving Account,0.10271
CIF01000034,Customer_35,Agape Saving Account,Mid-Value Growth,Mid-CLV,Low Risk,3,Blatena Saving Account,0.07802
CIF01000035,Customer_36,Ordinary Saving Account,Low Engagement,Low-CLV,Critical Risk,1,Special Saving Account,0.10761
CIF01000035,Customer_36,Ordinary Saving Account,Low Engagement,Low-CLV,Critical Risk,2,Blatena Saving Account,0.07345
CIF01000035,Customer_36,Ordinary Saving Account,Low Engagement,Low-CLV,Critical Risk,3,Werazut Saving Account,0.07296
CIF01000036,Customer_37,Tirufat Savings Account,Dormant Risk,High-CLV,Critical Risk,1,Ordinary Saving Account,0.24052
CIF01000036,Customer_37,Tirufat Savings Account,Dormant Risk,High-CLV,Critical Risk,2,Special Saving Account,0.097
CIF01000036,Customer_37,Tirufat Savings Account,Dormant Risk,High-CLV,Critical Risk,3,Blatena Saving Account,0.08032
CIF01000037,Customer_38,Ordinary Saving Account,Low Engagement,Low-CLV,Low Risk,1,Special Saving Account,0.10343
CIF01000037,Customer_38,Ordinary Saving Account,Low Engagement,Low-CLV,Low Risk,2,Werazut Saving Account,0.07348
CIF01000037,Customer_38,Ordinary Saving Account,Low Engagement,Low-CLV,Low Risk,3,Blatena Saving Account,0.07337
CIF01000038,Customer_39,Abew Saving Account,Low Engagement,High-CLV,Critical Risk,1,Ordinary Saving Account,0.2526
CIF01000038,Customer_39,Abew Saving Account,Low Engagement,High-CLV,Critical Risk,2,Special Saving Account,0.10525
CIF01000038,Customer_39,Abew Saving Account,Low Engagement,High-CLV,Critical Risk,3,Blatena Saving Account,0.07561
CIF01000039,Customer_40,Hiruyan Saving Account,Mid-Value Growth,Mid-CLV,Low Risk,1,Ordinary Saving Account,0.24715
CIF01000039,Customer_40,Hiruyan Saving Account,Mid-Value Growth,Mid-CLV,Low Risk,2,Special Saving Account,0.10691
CIF01000039,Customer_40,Hiruyan Saving Account,Mid-Value Growth,Mid-CLV,Low Risk,3,Blatena Saving Account,0.07631
CIF01000040,Customer_41,Ordinary Saving Account,Low Engagement,Mid-CLV,Critical Risk,1,Special Saving Account,0.10539
CIF01000040,Customer_41,Ordinary Saving Account,Low Engagement,Mid-CLV,Critical Risk,2,Blatena Saving Account,0.07295
CIF01000040,Customer_41,Ordinary Saving Account,Low Engagement,Mid-CLV,Critical Risk,3,Werazut Saving Account,0.07022
CIF01000041,Customer_42,Ordinary Saving Account,Cross-Sell Ready,Top-CLV,Critical Risk,1,Special Saving Account,0.10187
CIF01000041,Customer_42,Ordinary Saving Account,Cross-Sell Ready,Top-CLV,Critical Risk,2,Blatena Saving Account,0.07669
CIF01000041,Customer_42,Ordinary Saving Account,Cross-Sell Ready,Top-CLV,Critical Risk,3,Werazut Saving Account,0.06529
CIF01000042,Customer_43,Special Saving Account,High-CLV Active,High-CLV,Critical Risk,1,Ordinary Saving Account,0.2515
CIF01000042,Customer_43,Special Saving Account,High-CLV Active,High-CLV,Critical Risk,2,Blatena Saving Account,0.08052
CIF01000042,Customer_43,Special Saving Account,High-CLV Active,High-CLV,Critical Risk,3,Werazut Saving Account,0.06694
CIF01000043,Customer_44,Special Saving Account,High-CLV Active,Mid-CLV,Low Risk,1,Ordinary Saving Account,0.25799
CIF01000043,Customer_44,Special Saving Account,High-CLV Active,Mid-CLV,Low Risk,2,Blatena Saving Account,0.07649
CIF01000043,Customer_44,Special Saving Account,High-CLV Active,Mid-CLV,Low Risk,3,Werazut Saving Account,0.06321
CIF01000044,Customer_45,Blatena Saving Account,High-CLV Active,Top-CLV,Low Risk,1,Ordinary Saving Account,0.26051
CIF01000044,Customer_45,Blatena Saving Account,High-CLV Active,Top-CLV,Low Risk,2,Special Saving Account,0.09842
CIF01000044,Customer_45,Blatena Saving Account,High-CLV Active,Top-CLV,Low Risk,3,Ahati Saving Account,0.06575
CIF01000045,Customer_46,Werazut Saving Account,Mid-Value Growth,Low-CLV,Critical Risk,1,Ordinary Saving Account,0.24624
CIF01000045,Customer_46,Werazut Saving Account,Mid-Value Growth,Low-CLV,Critical Risk,2,Special Saving Account,0.10036
CIF01000045,Customer_46,Werazut Saving Account,Mid-Value Growth,Low-CLV,Critical Risk,3,Blatena Saving Account,0.07623
CIF01000046,Customer_47,Ordinary Saving Account,Low Engagement,Low-CLV,Critical Risk,1,Special Saving Account,0.10343
CIF01000046,Customer_47,Ordinary Saving Account,Low Engagement,Low-CLV,Critical Risk,2,Werazut Saving Account,0.07348
CIF01000046,Customer_47,Ordinary Saving Account,Low Engagement,Low-CLV,Critical Risk,3,Blatena Saving Account,0.07337
CIF01000047,Customer_48,Blatena Saving Account,Mid-Value Growth,Mid-CLV,Low Risk,1,Ordinary Saving Account,0.24715
CIF01000047,Customer_48,Blatena Saving Account,Mid-Value Growth,Mid-CLV,Low Risk,2,Special Saving Account,0.10691
CIF01000047,Customer_48,Blatena Saving Account,Mid-Value Growth,Mid-CLV,Low Risk,3,Werazut Saving Account,0.06778
CIF01000048,Customer_49,Equb Saving Account,High-CLV Active,Low-CLV,Low Risk,1,Ordinary Saving Account,0.24126
CIF01000048,Customer_49,Equb Saving Account,High-CLV Active,Low-CLV,Low Risk,2,Special Saving Account,0.10175
CIF01000048,Customer_49,Equb Saving Account,High-CLV Active,Low-CLV,Low Risk,3,Blatena Saving Account,0.07657
CIF01000049,Customer_50,Ordinary Saving Account,Low Engagement,Low-CLV,Critical Risk,1,Special Saving Account,0.10341
CIF01000049,Customer_50,Ordinary Saving Account,Low Engagement,Low-CLV,Critical Risk,2,Blatena Saving Account,0.07516
CIF01000049,Customer_50,Ordinary Saving Account,Low Engagement,Low-CLV,Critical Risk,3,Werazut Saving Account,0.07441
CIF01000050,Customer_51,Ahati Saving Account,Low Engagement,Low-CLV,Critical Risk,1,Ordinary Saving Account,0.2429
CIF01000050,Customer_51,Ahati Saving Account,Low Engagement,Low-CLV,Critical Risk,2,Special Saving Account,0.10341
CIF01000050,Customer_51,Ahati Saving Account,Low Engagement,Low-CLV,Critical Risk,3,Blatena Saving Account,0.07516
CIF01000051,Customer_52,Hiruyan Saving Account,Cross-Sell Ready,High-CLV,Critical Risk,1,Ordinary Saving Account,0.24929
CIF01000051,Customer_52,Hiruyan Saving Account,Cross-Sell Ready,High-CLV,Critical Risk,2,Special Saving Account,0.10285
CIF01000051,Customer_52,Hiruyan Saving Account,Cross-Sell Ready,High-CLV,Critical Risk,3,Blatena Saving Account,0.07697
CIF01000052,Customer_53,Ahadu Bereket Saving Account,Dormant Risk,High-CLV,Critical Risk,1,Ordinary Saving Account,0.23652
CIF01000052,Customer_53,Ahadu Bereket Saving Account,Dormant Risk,High-CLV,Critical Risk,2,Special Saving Account,0.1016
CIF01000052,Customer_53,Ahadu Bereket Saving Account,Dormant Risk,High-CLV,Critical Risk,3,Blatena Saving Account,0.08082
CIF01000053,Customer_54,Ordinary Saving Account,Cross-Sell Ready,High-CLV,Critical Risk,1,Special Saving Account,0.10328
CIF01000053,Customer_54,Ordinary Saving Account,Cross-Sell Ready,High-CLV,Critical Risk,2,Blatena Saving Account,0.07739
CIF01000053,Customer_54,Ordinary Saving Account,Cross-Sell Ready,High-CLV,Critical Risk,3,Werazut Saving Account,0.07009
CIF01000054,Customer_55,Special Saving Account,Champions,Mid-CLV,Critical Risk,1,Ordinary Saving Account,0.24766
CIF01000054,Customer_55,Special Saving Account,Champions,Mid-CLV,Critical Risk,2,Blatena Saving Account,0.07877
CIF01000054,Customer_55,Special Saving Account,Champions,Mid-CLV,Critical Risk,3,Werazut Saving Account,0.06991
CIF01000055,Customer_56,Special Saving Account,Low Engagement,High-CLV,Critical Risk,1,Ordinary Saving Account,0.24279
CIF01000055,Customer_56,Special Saving Account,Low Engagement,High-CLV,Critical Risk,2,Blatena Saving Account,0.07821
CIF01000055,Customer_56,Special Saving Account,Low Engagement,High-CLV,Critical Risk,3,Werazut Saving Account,0.07775
CIF01000056,Customer_57,Ordinary Saving Account,Mid-Value Growth,Top-CLV,Low Risk,1,Special Saving Account,0.10078
CIF01000056,Customer_57,Ordinary Saving Account,Mid-Value Growth,Top-CLV,Low Risk,2,Blatena Saving Account,0.07777
CIF01000056,Customer_57,Ordinary Saving Account,Mid-Value Growth,Top-CLV,Low Risk,3,Werazut Saving Account,0.06629
CIF01000057,Customer_58,Ordinary Saving Account,Mid-Value Growth,Top-CLV,Critical Risk,1,Special Saving Account,0.10117
CIF01000057,Customer_58,Ordinary Saving Account,Mid-Value Growth,Top-CLV,Critical Risk,2,Blatena Saving Account,0.07998
CIF01000057,Customer_58,Ordinary Saving Account,Mid-Value Growth,Top-CLV,Critical Risk,3,Werazut Saving Account,0.06895
CIF01000058,Customer_59,Prime Customer Deposit Account,Mid-Value Growth,High-CLV,Critical Risk,1,Ordinary Saving Account,0.24435
CIF01000058,Customer_59,Prime Customer Deposit Account,Mid-Value Growth,High-CLV,Critical Risk,2,Special Saving Account,0.10635
CIF01000058,Customer_59,Prime Customer Deposit Account,Mid-Value Growth,High-CLV,Critical Risk,3,Blatena Saving Account,0.07855
CIF01000059,Customer_60,Dekemezmur Saving Account,Low Engagement,Mid-CLV,Low Risk,1,Ordinary Saving Account,0.25172
CIF01000059,Customer_60,Dekemezmur Saving Account,Low Engagement,Mid-CLV,Low Risk,2,Special Saving Account,0.10579
CIF01000059,Customer_60,Dekemezmur Saving Account,Low Engagement,Mid-CLV,Low Risk,3,Blatena Saving Account,0.07516
CIF01000060,Customer_61,Ordinary Saving Account,Cross-Sell Ready,Top-CLV,Critical Risk,1,Special Saving Account,0.1023
CIF01000060,Customer_61,Ordinary Saving Account,Cross-Sell Ready,Top-CLV,Critical Risk,2,Blatena Saving Account,0.07711
CIF01000060,Customer_61,Ordinary Saving Account,Cross-Sell Ready,Top-CLV,Critical Risk,3,Werazut Saving Account,0.06701
CIF01000061,Customer_62,Special Saving Account,Cross-Sell Ready,Low-CLV,Critical Risk,1,Ordinary Saving Account,0.24327
CIF01000061,Customer_62,Special Saving Account,Cross-Sell Ready,Low-CLV,Critical Risk,2,Blatena Saving Account,0.07473
CIF01000061,Customer_62,Special Saving Account,Cross-Sell Ready,Low-CLV,Critical Risk,3,Werazut Saving Account,0.06711
CIF01000062,Customer_63,Werazut Saving Account,Low Engagement,High-CLV,Critical Risk,1,Ordinary Saving Account,0.2526
CIF01000062,Customer_63,Werazut Saving Account,Low Engagement,High-CLV,Critical Risk,2,Special Saving Account,0.10525
CIF01000062,Customer_63,Werazut Saving Account,Low Engagement,High-CLV,Critical Risk,3,Blatena Saving Account,0.07561
CIF01000063,Customer_64,Ordinary Saving Account,Low Engagement,High-CLV,Critical Risk,1,Special Saving Account,0.10523
CIF01000063,Customer_64,Ordinary Saving Account,Low Engagement,High-CLV,Critical Risk,2,Blatena Saving Account,0.0774
CIF01000063,Customer_64,Ordinary Saving Account,Low Engagement,High-CLV,Critical Risk,3,Werazut Saving Account,0.07567
CIF01000064,Customer_65,Blatena Saving Account,Dormant Risk,Mid-CLV,Critical Risk,1,Ordinary Saving Account,0.23932
CIF01000064,Customer_65,Blatena Saving Account,Dormant Risk,Mid-CLV,Critical Risk,2,Special Saving Account,0.10216
CIF01000064,Customer_65,Blatena Saving Account,Dormant Risk,Mid-CLV,Critical Risk,3,Werazut Saving Account,0.06936
CIF01000065,Customer_66,Blatena Saving Account,Low Engagement,Low-CLV,Low Risk,1,Ordinary Saving Account,0.23867
CIF01000065,Customer_66,Blatena Saving Account,Low Engagement,Low-CLV,Low Risk,2,Special Saving Account,0.10761
CIF01000065,Customer_66,Blatena Saving Account,Low Engagement,Low-CLV,Low Risk,3,Werazut Saving Account,0.07296
CIF01000066,Customer_67,Special Saving Account,Mid-Value Growth,High-CLV,Critical Risk,1,Ordinary Saving Account,0.24835
CIF01000066,Customer_67,Special Saving Account,Mid-Value Growth,High-CLV,Critical Risk,2,Blatena Saving Account,0.07805
CIF01000066,Customer_67,Special Saving Account,Mid-Value Growth,High-CLV,Critical Risk,3,Werazut Saving Account,0.06937
CIF01000067,Customer_68,Dekemezmur Saving Account,Cross-Sell Ready,Low-CLV,Critical Risk,1,Ordinary Saving Account,0.24719
CIF01000067,Customer_68,Dekemezmur Saving Account,Cross-Sell Ready,Low-CLV,Critical Risk,2,Special Saving Account,0.10146
CIF01000067,Customer_68,Dekemezmur Saving Account,Cross-Sell Ready,Low-CLV,Critical Risk,3,Blatena Saving Account,0.07515
CIF01000068,Customer_69,Ordinary Saving Account,Cross-Sell Ready,Top-CLV,Critical Risk,1,Special Saving Account,0.1023
CIF01000068,Customer_69,Ordinary Saving Account,Cross-Sell Ready,Top-CLV,Critical Risk,2,Blatena Saving Account,0.07711
CIF01000068,Customer_69,Ordinary Saving Account,Cross-Sell Ready,Top-CLV,Critical Risk,3,Werazut Saving Account,0.06701
CIF01000069,Customer_70,Special Saving Account,Low Engagement,High-CLV,Critical Risk,1,Ordinary Saving Account,0.24869
CIF01000069,Customer_70,Special Saving Account,Low Engagement,High-CLV,Critical Risk,2,Blatena Saving Account,0.07519
CIF01000069,Customer_70,Special Saving Account,Low Engagement,High-CLV,Critical Risk,3,Werazut Saving Account,0.07302
CIF01000070,Customer_71,Tirufat Savings Account,High-CLV Active,High-CLV,Critical Risk,1,Ordinary Saving Account,0.24728
CIF01000070,Customer_71,Tirufat Savings Account,High-CLV Active,High-CLV,Critical Risk,2,Special Saving Account,0.10357
CIF01000070,Customer_71,Tirufat Savings Account,High-CLV Active,High-CLV,Critical Risk,3,Blatena Saving Account,0.07881
CIF01000071,Customer_72,Ahati Saving Account,Cross-Sell Ready,Mid-CLV,Critical Risk,1,Ordinary Saving Account,0.25601
CIF01000071,Customer_72,Ahati Saving Account,Cross-Sell Ready,Mid-CLV,Critical Risk,2,Special Saving Account,0.10384
CIF01000071,Customer_72,Ahati Saving Account,Cross-Sell Ready,Mid-CLV,Critical Risk,3,Blatena Saving Account,0.07515
CIF01000072,Customer_73,Ordinary Saving Account,Low Engagement,High-CLV,Critical Risk,1,Special Saving Account,0.10943
CIF01000072,Customer_73,Ordinary Saving Account,Low Engagement,High-CLV,Critical Risk,2,Blatena Saving Account,0.07569
CIF01000072,Customer_73,Ordinary Saving Account,Low Engagement,High-CLV,Critical Risk,3,Werazut Saving Account,0.07422
CIF01000073,Customer_74,Ordinary Saving Account,Cross-Sell Ready,Mid-CLV,Critical Risk,1,Special Saving Account,0.10801
CIF01000073,Customer_74,Ordinary Saving Account,Cross-Sell Ready,Mid-CLV,Critical Risk,2,Blatena Saving Account,0.07523
