CIF,Account Name,Region,Product Type,End Balance,Days_Since_Last_Txn,CLV_Predicted,Churn_Probability
CIF01005913,Customer_5914,Addis Ababa,Ordinary Saving Account,487044.97,2004,291453.6,0.9999998999954294
CIF01004243,Customer_4244,Amhara,Ahati Saving Account,500959.8,891,290227.22,0.999999946604774
CIF01009211,Customer_9212,Addis Ababa,Ordinary Saving Account,535807.51,787,285099.7,0.9999998751960557
CIF01007992,Customer_7993,Addis Ababa,Agape Saving Account,480558.69,1609,281550.78,0.9999999672239372
CIF01000230,Customer_231,Oromia,Tirufat Savings Account,537429.64,421,275414.78,0.9999962821663896
CIF01005385,Customer_5386,SNNPR,Ordinary Saving Account,428034.54,698,273930.53,0.999990961328585
CIF01007164,Customer_7165,Oromia,Abew Saving Account,432569.62,1392,273143.4,0.9999999698397082
CIF01006252,Customer_6253,Sidama,Blatena Saving Account,452363.87,662,271591.22,0.9999915275845815
CIF01009272,Customer_9273,Addis Ababa,Tirufat Savings Account,467717.73,1813,269585.34,0.9999999599694596
CIF01000766,Customer_767,Harari,Asrat Bekurat Saving Account,513041.78,4166,269166.1,0.9999999263159228
CIF01001123,Customer_1124,Tigray,Ordinary Saving Account,440050.04,1812,268519.47,0.9999998781155928
CIF01005637,Customer_5638,SNNPR,Abew Saving Account,508421.5,3254,267896.62,0.9999998404110205
CIF01002495,Customer_2496,Addis Ababa,Equb Saving Account,447318.78,3237,267745.9,0.9999998338907515
CIF01001946,Customer_1947,Oromia,Equb Saving Account,534182.91,2164,266417.34,0.9999998702785406
CIF01003963,Customer_3964,Addis Ababa,Ordinary Saving Account,430054.26,3209,265796.16,0.9999999456376044
CIF01001765,Customer_1766,Amhara,Ordinary Saving Account,454395.39,2317,264481.47,0.9999999741350774
CIF01001537,Customer_1538,Sidama,Ahati Saving Account,509133.07,2514,264370.1,0.999999884827305
CIF01004451,Customer_4452,SNNPR,Werazut Saving Account,424909.3,3251,263854.66,0.999999705309687
CIF01007058,Customer_7059,SNNPR,Abew Saving Account,474555.49,4710,263614.72,0.9999999369441013
CIF01009376,Customer_9377,Addis Ababa,Werazut Saving Account,572052.1,2584,262198.34,0.9999999372693965
CIF01007289,Customer_7290,Dire Dawa,Abew Saving Account,410456.45,762,260898.28,0.9999966187261262
CIF01007825,Customer_7826,Oromia,Special Saving Account,437113.11,2508,258158.5,0.9999999620387897
CIF01002533,Customer_2534,Oromia,Washera Saving Account,457090.85,4151,256779.94,0.9999999427371211
CIF01008531,Customer_8532,Oromia,Ordinary Saving Account,511023.41,3145,255291.42,0.9999999489803261
CIF01003618,Customer_3619,Dire Dawa,Werazut Saving Account,504126.98,1160,253960.69,0.9999998167947686
CIF01004790,Customer_4791,Addis Ababa,Ordinary Saving Account,430275.56,922,253803.7,0.9999998709084081
CIF01007028,Customer_7029,Oromia,Agape Saving Account,529461.75,2592,253169.97,0.9999999589495584
CIF01002640,Customer_2641,Addis Ababa,Special Saving Account,325755.07,1915,252238.53,0.9999999634046419
CIF01004866,Customer_4867,Addis Ababa,Ordinary Saving Account,402870.73,3789,251191.16,0.9999999697176376
CIF01002898,Customer_2899,Oromia,Special Saving Account,383631.36,1769,249052.17,0.9999998798258152
CIF01007638,Customer_7639,SNNPR,Werazut Saving Account,476813.94,2307,248781.48,0.999999787772534
CIF01007356,Customer_7357,SNNPR,Ahati Saving Account,475863.41,3308,247637.27,0.999999934258948
CIF01005963,Customer_5964,Amhara,Werazut Saving Account,365360.63,1425,245241.06,0.9999999121399501
CIF01002178,Customer_2179,Oromia,Special Saving Account,483517.33,2223,245052.84,0.9999999675868881
CIF01000839,Customer_840,Tigray,Dekemezmur Saving Account,502995.99,1351,244215.7,0.9999997221730746
CIF01000085,Customer_86,Addis Ababa,Agape Saving Account,308701.87,1482,243223.56,0.9999998904174487
CIF01004571,Customer_4572,Tigray,Couples Saving Deposit,403900.62,4112,242538.45,0.9999999399611634
CIF01008945,Customer_8946,Amhara,Washera Saving Account,310078.94,569,241879.75,0.9999981446568023
CIF01003503,Customer_3504,Addis Ababa,Ordinary Saving Account,482111.0,962,241166.4,0.999999892805762
CIF01006202,Customer_6203,Addis Ababa,Dekemezmur Saving Account,345622.06,619,240780.05,0.9999998625498525
CIF01004222,Customer_4223,Somali,Dekemezmur Saving Account,297449.49,1544,238897.1,0.9999998163623804
CIF01002158,Customer_2159,Addis Ababa,Abew Saving Account,374846.74,1377,238171.28,0.9999999200103413
CIF01005332,Customer_5333,Amhara,Ahati Saving Account,364883.47,2084,238036.36,0.9999999591616667
CIF01008923,Customer_8924,SNNPR,Special Saving Account,444449.22,540,237965.98,0.9999924996461785
CIF01002796,Customer_2797,Oromia,Dekemezmur Saving Account,337004.01,398,235009.38,0.9999998206879581
CIF01000115,Customer_116,Addis Ababa,Ordinary Saving Account,413656.77,3504,234332.12,0.9999999324921091
CIF01000548,Customer_549,Addis Ababa,Prime Customer Deposit Account,365107.31,955,234246.8,0.9999998749774525
CIF01006647,Customer_6648,Addis Ababa,Tirufat Savings Account,400671.18,2533,233347.11,0.9999999422236028
CIF01005132,Customer_5133,Oromia,Ordinary Saving Account,361590.2,2084,232917.22,0.9999999488595603
CIF01006721,Customer_6722,Oromia,Blatena Saving Account,429974.57,3445,232769.22,0.9999999860477422
CIF01002504,Customer_2505,Tigray,Hiruyan Saving Account,366866.13,534,231018.83,0.9999996460084856
CIF01009301,Customer_9302,Oromia,Agape Saving Account,397476.59,2541,229764.06,0.9999999684552169
CIF01003026,Customer_3027,Amhara,Blatena Saving Account,417759.11,2598,229366.66,0.9999999460607742
CIF01003641,Customer_3642,Oromia,Tirufat Savings Account,390404.4,1758,228820.08,0.9999999620387944
CIF01008047,Customer_8048,Dire Dawa,Agape Saving Account,347052.72,2571,227981.47,0.9999999556138621
CIF01003817,Customer_3818,Oromia,Blatena Saving Account,409269.21,3312,227134.16,0.9999999278309991
CIF01004623,Customer_4624,SNNPR,Ordinary Saving Account,334775.57,2035,226591.05,0.9999999241073623
CIF01004840,Customer_4841,Tigray,Ahadu Bereket Saving Account,348895.71,2089,226513.1,0.9999999013200498
CIF01007740,Customer_7741,Sidama,Ahadu Bereket Saving Account,397816.38,657,226387.84,0.9999956359734445
CIF01009766,Customer_9767,Amhara,Ordinary Saving Account,348118.3,4609,225463.78,0.9999999435446639
CIF01007714,Customer_7715,Addis Ababa,Ahati Saving Account,435129.12,504,225271.42,0.9999939050412208
CIF01008011,Customer_8012,SNNPR,Ordinary Saving Account,348462.47,921,224262.17,0.9999999769810547
CIF01008326,Customer_8327,Addis Ababa,Ahadu Bereket Saving Account,402007.71,1041,223483.64,0.9999998419557211
CIF01007276,Customer_7277,Addis Ababa,Blatena Saving Account,304183.53,564,221991.48,0.9999965029203336
CIF01008897,Customer_8898,Addis Ababa,Dekemezmur Saving Account,406202.92,1679,218025.3,0.9999999277951331
CIF01000670,Customer_671,Dire Dawa,Sitota Saving Deposit,400896.29,1789,217783.03,0.999999940408782
CIF01002592,Customer_2593,Amhara,Special Saving Account,399909.52,4117,216891.44,0.9999999609801531
CIF01002516,Customer_2517,Addis Ababa,Special Saving Account,390127.78,785,215704.3,0.9999996410954772
CIF01006440,Customer_6441,Addis Ababa,Ordinary Saving Account,384612.64,1016,215527.89,0.999999966025918
CIF01001799,Customer_1800,Oromia,Werazut Saving Account,386708.53,1854,215089.56,0.999999948063752
CIF01007783,Customer_7784,Oromia,Ahati Saving Account,390886.59,2017,213779.4,0.999999893071026
CIF01002272,Customer_2273,Harari,Dekemezmur Saving Account,225921.05,1747,212773.98,0.999999855112708
CIF01000441,Customer_442,SNNPR,Special Saving Account,387555.69,1320,211096.92,0.9999997421152415
CIF01003003,Customer_3004,Harari,Ahati Saving Account,348599.29,688,210509.2,0.9999959072557818
CIF01001439,Customer_1440,Somali,Werazut Saving Account,374107.22,700,209792.4,0.999996642792847
CIF01009062,Customer_9063,Oromia,Ahadu Bereket Saving Account,408482.87,615,209315.17,0.9999923558389162
CIF01004997,Customer_4998,Amhara,Blatena Saving Account,348129.74,1321,208724.95,0.9999998233174489
CIF01003468,Customer_3469,Amhara,Tirufat Savings Account,363816.05,1488,208523.53,0.9999999306861748
CIF01008958,Customer_8959,Tigray,Ahadu Bereket Saving Account,306872.72,1036,208451.94,0.999999920623626
CIF01007083,Customer_7084,Amhara,Ordinary Saving Account,289834.58,2114,208422.19,0.9999999714852176
CIF01008966,Customer_8967,Benishangul-Gumuz,Hiruyan Saving Account,399618.13,974,207982.73,0.9999997928935249
CIF01009697,Customer_9698,Addis Ababa,Ordinary Saving Account,275240.14,912,207397.47,0.9999999378278924
CIF01004529,Customer_4530,Amhara,Werazut Saving Account,218774.82,1732,207215.75,0.9999999265215024
CIF01002880,Customer_2881,Oromia,Ordinary Saving Account,281453.36,1418,207134.47,0.9999998763874978
CIF01009899,Customer_9900,Addis Ababa,Blatena Saving Account,367311.49,3039,205980.62,0.9999998862260672
CIF01002909,Customer_2910,Addis Ababa,Special Saving Account,394463.36,793,205649.48,0.999999769017697
CIF01000491,Customer_492,Addis Ababa,Agape Saving Account,235540.79,646,204942.73,0.9999973296136717
CIF01004992,Customer_4993,Tigray,Blatena Saving Account,326115.7,2072,204150.69,0.9999999794776355
CIF01007338,Customer_7339,Addis Ababa,Special Saving Account,334667.47,939,203774.38,0.9999999474547315
CIF01002676,Customer_2677,Oromia,Hiruyan Saving Account,299329.34,1030,203728.77,0.9999998689909336
CIF01001526,Customer_1527,Addis Ababa,Sitota Saving Deposit,350992.28,1306,203627.84,0.9999999273708238
CIF01005776,Customer_5777,Tigray,Special Saving Account,343513.01,1131,203601.1,0.9999999543850323
CIF01002602,Customer_2603,Addis Ababa,Dekemezmur Saving Account,297957.89,582,202061.44,0.9999980374783898
CIF01003662,Customer_3663,Amhara,Ordinary Saving Account,313484.72,1790,201935.28,0.9999999075716121
CIF01001903,Customer_1904,Addis Ababa,Special Saving Account,252316.61,721,201302.16,0.9999978998272323
CIF01008833,Customer_8834,Addis Ababa,Ordinary Saving Account,360605.73,742,200900.2,0.9999982695896876
CIF01004959,Customer_4960,SNNPR,Dekemezmur Saving Account,332485.91,1414,200174.14,0.9999994302073192
CIF01006611,Customer_6612,Amhara,Special Saving Account,349397.21,1336,200023.42,0.9999997738505365
CIF01008625,Customer_8626,Addis Ababa,Blatena Saving Account,318541.5,576,199933.52,0.9999988534539171
CIF01007311,Customer_7312,Addis Ababa,Tirufat Savings Account,361563.62,920,199691.98,0.9999999042333086
CIF01003053,Customer_3054,Addis Ababa,Hiruyan Saving Account,264891.75,2441,199316.2,0.9999998965551564
CIF01002062,Customer_2063,Addis Ababa,Ordinary Saving Account,275210.4,678,198999.98,0.9999997302206087
CIF01007419,Customer_7420,Addis Ababa,Prime Customer Deposit Account,224711.68,2150,198812.33,0.9999999491989927
CIF01008367,Customer_8368,Amhara,Blatena Saving Account,335532.58,625,197745.86,0.9999978297889862
CIF01000873,Customer_874,Addis Ababa,Blatena Saving Account,318886.17,664,197639.67,0.99999734404337
CIF01003738,Customer_3739,Oromia,Blatena Saving Account,307876.5,779,197633.88,0.999999887115509
CIF01008905,Customer_8906,Addis Ababa,Janderebaw Saving Account,353432.02,430,197612.44,0.999996703354577
CIF01008478,Customer_8479,Oromia,Ordinary Saving Account,325072.91,1084,197608.16,0.9999999060982457
CIF01003438,Customer_3439,SNNPR,Ahadu Bereket Saving Account,410996.59,486,197497.66,0.9999979710332014
CIF01001251,Customer_1252,SNNPR,Ordinary Saving Account,308309.2,2974,197302.94,0.9999998271325897
CIF01001259,Customer_1260,Addis Ababa,Ordinary Saving Account,291064.39,2483,196063.48,0.9999999528602022
CIF01004708,Customer_4709,SNNPR,Couples Saving Deposit,256285.52,1355,195782.75,0.999999776993437
CIF01004683,Customer_4684,Oromia,Hiruyan Saving Account,352718.38,850,195364.72,0.9999999897518769
CIF01002814,Customer_2815,Addis Ababa,Prime Customer Deposit Account,243762.68,1625,195288.0,0.9999999247790078
CIF01002435,Customer_2436,Gambela,Ahati Saving Account,317050.57,2770,194980.81,0.9999999005536254
CIF01006094,Customer_6095,Addis Ababa,Ordinary Saving Account,321728.71,1792,194725.81,0.9999999449064002
CIF01002161,Customer_2162,Somali,Washera Saving Account,296343.08,2619,193833.39,0.9999999594224042
CIF01000776,Customer_777,Oromia,Ordinary Saving Account,281565.19,1277,192664.8,0.9999999344174234
CIF01002478,Customer_2479,Harari,Hiruyan Saving Account,310805.56,2249,191806.52,0.9999999281949323
CIF01009279,Customer_9280,SNNPR,Blatena Saving Account,313156.91,1207,191646.55,0.9999999179935529
CIF01003548,Customer_3549,Amhara,Ordinary Saving Account,314302.55,1333,190951.5,0.9999999492881663
CIF01000818,Customer_819,Addis Ababa,Werazut Saving Account,169740.91,935,190256.64,0.9999998452906946
CIF01004626,Customer_4627,Addis Ababa,Ordinary Saving Account,339466.65,3849,190107.72,0.9999999420771521
CIF01004817,Customer_4818,Benishangul-Gumuz,Ordinary Saving Account,363824.29,2220,190102.89,0.9999999651785568
CIF01006098,Customer_6099,Sidama,Ordinary Saving Account,209164.53,2410,189790.42,0.9999997069219362
CIF01006630,Customer_6631,SNNPR,Tirufat Savings Account,211799.58,1727,189620.34,0.9999998802040099
CIF01004402,Customer_4403,SNNPR,Ordinary Saving Account,242945.33,1308,189299.11,0.9999998462701213
CIF01004353,Customer_4354,Amhara,Ahadu Bereket Saving Account,322278.62,3542,189284.1,0.9999999172332095
CIF01000534,Customer_535,Benishangul-Gumuz,Tirufat Savings Account,226567.5,474,189141.05,0.9999999709827974
CIF01005379,Customer_5380,Oromia,Tirufat Savings Account,332806.37,2255,188644.53,0.9999999642257096
CIF01005366,Customer_5367,Oromia,Abew Saving Account,291136.31,738,188041.66,0.9999993041127437
CIF01006688,Customer_6689,Oromia,Dekemezmur Saving Account,321910.82,1548,187637.34,0.9999999655392203
CIF01004526,Customer_4527,Oromia,Tirufat Savings Account,345355.94,3287,187271.42,0.9999999520235793
CIF01000091,Customer_92,Addis Ababa,Ordinary Saving Account,178418.22,872,185669.34,0.9999999314712968
CIF01004929,Customer_4930,Amhara,Hiruyan Saving Account,275612.28,4079,185627.83,0.9999999617271994
CIF01009622,Customer_9623,Amhara,Dekemezmur Saving Account,317368.33,1282,185563.44,0.9999997897120974
CIF01000394,Customer_395,Somali,Blatena Saving Account,248300.29,3212,185474.52,0.9999998861450613
CIF01003177,Customer_3178,Harari,Janderebaw Saving Account,337816.28,1865,185415.16,0.9999999459968683
CIF01003976,Customer_3977,Amhara,Dekemezmur Saving Account,252885.81,615,184573.55,0.9999992126269543
CIF01009347,Customer_9348,Sidama,Equb Saving Account,307662.1,2695,184151.9,0.999999850356045
CIF01002514,Customer_2515,Oromia,Ahadu Bereket Saving Account,219571.37,1842,183535.08,0.9999999168137903
CIF01002599,Customer_2600,Amhara,Special Saving Account,139731.44,476,181760.72,0.9999981660100854
CIF01001651,Customer_1652,Amhara,Washera Saving Account,299531.8,713,181750.14,0.9999961968584745
CIF01000076,Customer_77,Sidama,Blatena Saving Account,309234.49,1468,180195.08,0.9999999239392543
CIF01005443,Customer_5444,Sidama,Dekemezmur Saving Account,281457.6,2738,179690.61,0.9999999789997018
CIF01001902,Customer_1903,Oromia,Ahati Saving Account,257459.98,828,179533.4,0.9999999031888887
CIF01004653,Customer_4654,Oromia,Equb Saving Account,160613.43,1618,179508.36,0.9999999130774775
CIF01005430,Customer_5431,Sidama,Equb Saving Account,182829.55,651,179278.78,0.9999988270909731
